Reference, Quantity, Value, Footprint, Datasheet, EAN / GTIN, Hersteller, Distributor, Artikelnummer Distributor
C1 ,1,220u,Capacitor_SMD:CP_Elec_6.3x5.8,~,9900002001580,Panasonic,Reichelt,EEEFT1C221AP
C2 C3 ,2,1uF,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,~,,,,
C4 C5 C9 C10 ,4,100n,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,~,,,,
C6 C7 ,2,22p,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm,~,,,,
C8 ,1,10n,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,~,,,,
D1 ,1,MBR0520LT,Diode_SMD:D_SOD-123,http://www.onsemi.com/pub_link/Collateral/MBR0520LT1-D.PDF,9900002196200,ON Semiconductor,Reichelt,
H1 H2 H3 H4 ,4,MountingHole,MountingHole:MountingHole_3.2mm_M3_DIN965_Pad,~,,,,
J1 ,1,Conn_01x02,TerminalBlock_RND:TerminalBlock_RND_205-00232_1x02_P5.08mm_Horizontal,~,,,,
J2 ,1,Conn_01x03_Male,Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,~,,,,
J3 ,1,Conn_02x03_Odd_Even,Connector_IDC:IDC-Header_2x03_P2.54mm_Vertical,~,,,,
J4 ,1,Conn_01x02,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,~,,,,
J5 ,1,Conn_01x02,Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,~,,,,
Q1 ,1,IRLML6402,Package_TO_SOT_SMD:SOT-23,https://www.infineon.com/dgdl/irlml6402pbf.pdf?fileId=5546d462533600a401535668d5c2263c,9900001087431,Infenion,Reichelt,
R1 ,1,22k,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,~,,,,
R2 ,1,150,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,~,,,,
R3 ,1,56k,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,~,,,,
U1 ,1,MCP1703A-5002_SOT23,Package_TO_SOT_SMD:SOT-23,http://ww1.microchip.com/downloads/en/DeviceDoc/20005122B.pdf,9900001372926,Microchip,Reichelt,
U2 ,1,ATmega88PA-PU,Package_DIP:DIP-28_W7.62mm,http://ww1.microchip.com/downloads/en/DeviceDoc/ATmega48PA_88PA_168PA-Data-Sheet-40002011A.pdf,9900001218354,Microchip,Reichelt,
U3 ,1,L293D,Package_DIP:DIP-16_W7.62mm,http://www.ti.com/lit/ds/symlink/l293.pdf,9900000096618,ST Microeletronics,,
Y1 ,1,8Mhz,Crystal:Crystal_HC49-4H_Vertical,~,,,,
